current_location,current_work,previous_work,latest_Education,majro,search_school,major
"Boston, Massachusetts, United States",Software Engineer(NLP Machine Learning/Data Science) at EBSCO Information Services,Data Scientist at Fairmarkit,Brown University,Biostatistics,Brown University,
Greater Boston,"VP, Research Director, Sales Enablement Strategies at Forrester","VP/Principal Analyst, Sales Enablement Strategies at Forrester",Brown University,History and Political Science,Brown University,
"Cranston, Rhode Island, United States","SVP, Director of Business Office, Infrastructure Services  at Citizens","SVP, Portfolio Director, Enterprise Services Program Management Office  at Citizens",Babson College - Franklin W. Olin Graduate School of Business,Innovation and Entrepreneurship,Brown University,
"New York, New York, United States",Director of Business Intelligence and Analytics at Common,"Senior Manager, Business Intelligence at Meetup",UC Berkeley School of Information,Information and Data Science,Brown University,
"Flagstaff, Arizona, United States","Director, People & Culture at Valimail",Senior Director of Human Resources at Kyruus,2006–2010,Egyptology,Brown University,
"New York, New York, United States",Brand Builder/Innovation/Sourcing/Sustainability Expert at N-ovative Design Group LLC.,"Manufacturing Strategist/Merchandiser at NANJING USA, INC.",Rhode Island School of Design,Fashion/Apparel Design,Brown University,
"Lake Mary, Florida, United States",Director Commercial Renewables Operations at Duke Energy Corporation,Senior Manager - Transmission Line Engineering Florida - Transmission Engineering at Duke Energy Corporation,Brown University,Science and Technology Leadership,Brown University,
"Norwalk, Connecticut, United States","Executive Vice President, Head of Integrated Marketing at Octagon",Vice President at New England Revolution (MLS),Harvard Business School,American History and English and American Literature,Brown University,
Hong Kong SAR,Senior Director at PSP Investments,Principal at AlpInvest Partners,1999–2003,Applied Math-Economics,Brown University,
"New York, New York, United States",,Chief Executive Officer at Mansueto Ventures,Brown University,English (magna cum laude),Brown University,
"Philadelphia, Pennsylvania, United States",Senior Project Manager at The Transformation Group,"Director, Business Impact Projects at Apex Learning",Simplilearn Alumni,Business Analysis,Brown University,
"New York, New York, United States",Senior Managing Director - Head of U.S. Acquisitions at GTIS Partners,Land Acquisition Manager at K. Hovnanian Homes,2001–2003,Finance,Brown University,
San Francisco Bay Area,General Partner at Night Ventures,Vice President at Bessemer Venture Partners,Brown University,Degree mixed engineering with entrepreneurial management and product development.,Brown University,
San Francisco Bay Area,General Partner at Night Ventures,Vice President at Bessemer Venture Partners,Brown University,,Brown University,
"Tiverton, Rhode Island, United States",Vice President at Grenzebach Glier and Associates,Vice President for Alumni Relations at Brown University,Claremont Graduate University,Education,Brown University,
New York City Metropolitan Area,Chief Privacy Officer/SVP at Visa,Advisor at Prifender,New York University School of Law,Biology / Political Philosophy,Brown University,
"Atlanta, Georgia, United States",Managing Partner at Atkins David LLC,"Partner at Swift, Currie, McGhee & Hiers",1990–1993,Law,Brown University,
"Atlanta, Georgia, United States",Managing Partner at Atkins David LLC,"Partner at Swift, Currie, McGhee & Hiers",1990–1993,,Brown University,
New York City Metropolitan Area,"Director, Community and Partner Marketing  at Simon & Schuster","Director, Partner Marketing at Simon & Schuster (a ViacomCBS Company)",+ 2 more,Publishing Course,Brown University,
Singapore,"Co-Founder Uplifting Service, Uplifting Customer Service Training, Service Culture Consulting at Ron Kaufman",Director of Customised Service Training at Service Quality Centre,Ontological Design Course,French language,Brown University,
"New York, New York, United States",Chief Operating Officer & Chief Financial Officer at Epirium,Chief Executive Officer at Reneo Capital Management LP,Brown University,,Brown University,
"San Francisco, California, United States",VP of Marketing at Farther Finance,Entrepreneur In Residence at Brown University,Brown University,Public Policy & American Institutions,Brown University,
New York City Metropolitan Area,"SVP, Head of Compliance, Alexion, AstraZeneca Rare Disease at Alexion Pharmaceuticals, Inc.","Deputy Chief Compliance Officer, SVP International Compliance & Global Compliance Operations at Alexion Pharmaceuticals, Inc.",Fordham University School of Law,Law,Brown University,
Los Angeles Metropolitan Area,Group Commercial Director - Americas at V.Group,Director at RBC Capital Markets,University of Pennsylvania - The Wharton School,"Finance, General",Brown University,
Greater Boston,"Senior Director, Policy, Operations and Chief of Staff, Patient and Market Access at Takeda","Senior Director, Head of Patient Services Marketing, Patient and Market Access at Takeda",University of Michigan,"Marketing, International Business",Brown University,
"San Francisco, California, United States","GM, Enterprise at Instawork",Strategic Accounts at Dropbox,Brown University,Biology,Brown University,
"Evergreen, Colorado, United States",Business Development Executive at Pure Spectrum,Chief Growth Officer at The Duck Company,The Wharton School,Finance,Brown University,
Washington DC-Baltimore Area,"Vice President, Strategy and Communications at Research!America","Senior Director, Public Policy and Government Relations at BD",Harvard University Kennedy School of Government,Sociology,Brown University,
"Boston, Massachusetts, United States",Chief of Staff at Snackpass,Analyst at RCLCO Real Estate Advisors,Brown University,Economics,Brown University,
"Los Angeles, California, United States",Chief Executive Officer at Sustainable Development Acquisition I Corp,Chairwoman of Board  at Fishpeople Seafood,Harvard Business School,History of Architecture // Business Economics,Brown University,
New York City Metropolitan Area,Leader Global Social Responsibility at McKinsey & Company,"Director, Global Social Responsibility at McKinsey & Company",Brown University,English & American Literature,Brown University,
"San Francisco, California, United States",Director of Risk Management & Compliance at San Francisco Giants,Global Environmental Health & Safety Program Manager at Uber,"University of California, Berkeley",Sociology,Brown University,
"New York, New York, United States",Associate at InfraNext Partners,Investment Banking Analyst at RBC Capital Markets,Brown University,Business Economics,Brown University,
"Lisle, Illinois, United States","Vice President, Assistant General Counsel & Corporate Secretary at SunCoke Energy","Assistant General Counsel & Assistant Corporate Secretary at SUNOCO, INC.",1988–1991,Law,Brown University,
United Kingdom,Board Member at Quantinuum,Chairman at Cambridge Quantum Computing,2002–2004,Finance,Brown University,
"Charlottesville, Virginia, United States",Director of Nursing and Clinical Outcomes at Lightyear Health,ERAS Program Lead at UVA Health System,University of Virginia,Registered Nursing/Registered Nurse,Brown University,
"New York, New York, United States",Product Manager at Caption Health,Head of Product at Buttonwood Network,Brown University,Applied Mathematics Biology,Brown University,
New York City Metropolitan Area,Strategic Account Development at Templafy,Sales Development Specialist at MarkLogic,Brown University,European History,Brown University,
Greater Boston,Incoming Investment Banking Analyst at William Blair,Portfolio Manager at Brown Socially Responsible Investment Fund,Brown University,Applied Mathematics - Economics,Brown University,
"Providence, Rhode Island, United States","Senior Advisor, Insurance at incapsulate",Senior Advisor at District360 at Assure eServices,Brown University,Experimental Psychology,Brown University,
Greater Houston,AVP | IT Governance / Enterprise Architecture / Security / Strategy at American National,Partner at Breakpoint Advisors,Brown University,Cybersecurity,Brown University,
"Santa Monica, California, United States","CEO at Management Controls, Inc.",Founder and CEO at Thismoment,1986–1990,Religious Studies,Brown University,
"Providence, Rhode Island, United States",Co-Founder and CEO at Bolden Therapeutics,"Graduate Research Assistant - Fallon Lab, Department of Neuroscience at Brown University",Brown University,Biotechnology,Brown University,
"Streetsboro, Ohio, United States",CEO at ForTec Companies,"VP & GM, Life Sciences at STERIS Corporation",Massachusetts Institute of Technology - Sloan School of Management,Environmental Engineering,Brown University,
"Seattle, Washington, United States",VP & Global Digital Marketing Professor at Podium Education,"Global Head of Integrated Marketing, EmployeeXM at Qualtrics",University of Virginia Darden School of Business,"General Management, Marketing",Brown University,
